family,scratch_train_roc_auc,library_train_roc_auc,train_auc_gap,scratch_roc_auc,library_roc_auc,auc_gap,auc_gap_ci_low,auc_gap_ci_high,scratch_accuracy,library_accuracy,scratch_log_loss,library_log_loss,scratch_fit_seconds,library_fit_seconds,fit_time_ratio,probability_mae,probability_correlation,label_agreement,consistency
Logistic none,1.0,1.0,0.0,0.98363095,0.97734788,0.00628307,-0.00198413,0.02414021,0.96491228,0.98245614,0.72533448,0.63411934,0.33501675,0.00994108,33.70022662,0.01446002,0.97634742,0.98245614,consistent
Logistic L1,0.99898865,0.99896801,2.064e-05,0.99007937,0.99107143,-0.00099206,-0.00396825,0.0,0.97368421,0.97368421,0.09517257,0.08806648,0.19027054,0.00749142,25.39847498,0.00523048,0.99877675,1.0,consistent
Logistic L2,0.99867905,0.99867905,0.0,0.98875661,0.98875661,0.0,0.0,0.0,0.97368421,0.97368421,0.09874444,0.09874451,0.11213346,0.00353092,31.75760258,4e-08,1.0,1.0,consistent
Random forest,0.99946336,0.99931889,0.00014448,0.99140212,0.99239418,-0.00099206,-0.00595238,0.00198413,0.96491228,0.97368421,0.10654286,0.10054916,0.3138205,0.06552158,4.78957438,0.01488415,0.99815264,0.99122807,consistent
AdaBoost,1.0,1.0,0.0,0.99305556,0.99305556,0.0,0.0,0.0,0.97368421,0.97368421,0.11771695,0.37489998,1.36267033,0.13033529,10.45511406,0.29325423,0.94178916,1.0,consistent
Gradient boosting,0.99623323,1.0,-0.00376677,0.99239418,0.99404762,-0.00165344,-0.00909805,0.00462963,0.95614035,0.96491228,0.21664209,0.0824169,1.88573079,0.18008229,10.47149484,0.13751067,0.9801514,0.95614035,consistent
XGBoost style,0.99987616,0.99985552,2.064e-05,0.99272487,0.99074074,0.00198413,-0.0,0.00694444,0.97368421,0.96491228,0.08735919,0.0940923,1.14891537,0.04074737,28.19605865,0.0060013,0.9992203,0.99122807,consistent
LightGBM style,1.0,1.0,0.0,0.99272487,0.99437831,-0.00165344,-0.00628307,0.00099206,0.97368421,0.95614035,0.09031407,0.09524637,1.32848596,0.01945396,68.28871994,0.01225368,0.99340093,0.98245614,consistent
