family,steps,network_evaluations,seconds,frechet_latent,mmd_rbf
Flow matching,5,20,0.01417350023984909,0.15773875168851603,0.001707741302567456
Flow matching,10,40,0.026670165825635195,0.1577417660434044,0.0017075187399380187
Flow matching,20,80,0.05102224973961711,0.1577419495054606,0.0017075118026603775
Flow matching,30,120,0.07821995811536908,0.15774196041290978,0.0017075117216232005
Diffusion,5,5,0.004217416048049927,0.14760652056881263,0.002208133746017582
Diffusion,10,10,0.006323958747088909,0.13228786479990262,0.0017829332567351752
Diffusion,20,20,0.012990250252187252,0.12741610388568247,0.001644901014859812
Diffusion,50,50,0.03149650013074279,0.12489967747122321,0.001572158101725396
VAE,1,1,0.0009688329882919788,0.3122245022622394,0.005822260908554755
