family,implementation,fit_seconds,epochs,initial_recorded_loss,final_recorded_loss,training_regression_mse,validation_regression_mse,training_objective,validation_objective,parameter_count,optimizer,device,nonfinite_detected,training_reconstruction_mse,validation_reconstruction_mse,mean_validation_kl
Flow matching,mlp,8.812655167188495,100,1.9743725884755452,1.4050645036697387,1.4003172116837177,1.4823088196591172,1.4003172116837177,1.4823088196591172,5320,torch.optim.Adam,mps,False,,,
Flow matching,linear ablation,4.688861500006169,100,2.178840642293294,1.9692200934092203,1.9687011460873474,1.9872424616217417,1.9687011460873474,1.9872424616217417,80,torch.optim.Adam,mps,False,,,
Diffusion,mlp,8.179342417046428,100,0.9207515150705974,0.6743469225565593,0.6725051027236336,0.7313480378631739,0.6725051027236336,0.7313480378631739,5320,torch.optim.Adam,mps,False,,,
Diffusion,linear ablation,4.17379116686061,100,1.2157065019607545,0.8843874335289001,0.8840014996479725,0.8949439140012514,0.8840014996479725,0.8949439140012514,80,torch.optim.Adam,mps,False,,,
VAE,mlp,3.8104957500472665,100,32.78809545167884,11.844018265864214,,,11.78614334605515,12.102752346462674,10644,torch.optim.Adam,mps,False,0.06270351260900497,0.06599375605583191,7.042750210232205
