family,metric,mlp_mean,linear_mean,gap,gap_ci_low,gap_ci_high,replicates
Flow matching,frechet_latent,0.13257320402769035,0.09461985809616547,0.037953345931524884,0.02705420718546589,0.04991109948981906,8
Flow matching,mmd_rbf,0.0020861453581499934,0.0017572555205867813,0.0003288898375632121,0.00019592298952408882,0.00044109138341724767,8
Flow matching,precision_knn,0.76075,0.4395,0.32125000000000004,0.30425,0.339,8
Flow matching,recall_knn,0.9263888888888889,0.8142361111111112,0.11215277777777778,0.09895833333333336,0.125,8
Flow matching,label_entropy,0.9933075652502712,0.9869750485809237,0.006332516669347532,0.004393971485660516,0.008551556059901733,8
Flow matching,class_coverage,10.0,10.0,0.0,0.0,0.0,8
Flow matching,median_nearest_train,1.0564591201030904,1.4866995057508445,-0.43024038564775413,-0.44515384241938655,-0.41282641473885695,8
Diffusion,frechet_latent,0.11577549771695672,0.0949715688210171,0.020803928895939627,0.01287272630953588,0.02831024686969712,8
Diffusion,mmd_rbf,0.002274432929377984,0.0018250536940170592,0.00044937923536092494,0.00025095761270811645,0.0006470864193165289,8
Diffusion,precision_knn,0.733,0.45475,0.27825,0.2615,0.2945,8
Diffusion,recall_knn,0.9451388888888889,0.80625,0.13888888888888892,0.12812500000000004,0.15208333333333335,8
Diffusion,label_entropy,0.9942490833682993,0.984458486967286,0.009790596401013332,0.007778511108001602,0.0117056376505542,8
Diffusion,class_coverage,10.0,10.0,0.0,0.0,0.0,8
Diffusion,median_nearest_train,1.1025454640588563,1.4713666758068913,-0.3688212117480348,-0.37673381656485816,-0.35922803356078864,8
